[02:12:16] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/INFO]: Reloading ResourceManager: Default
[02:12:19] [Worker-Main-2/INFO]: Loaded 7 recipes
[02:12:19] [Worker-Main-2/INFO]: Loaded 927 advancements
[02:12:22] [Server thread/INFO]: Starting minecraft server version 1.16.5
[02:12:22] [Server thread/INFO]: Loading properties
[02:12:22] [Server thread/INFO]: Default game type: SURVIVAL
[02:12:22] [Server thread/INFO]: Generating keypair
[02:12:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:12:23] [Server thread/INFO]: Using epoll channel type
[02:12:23] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:12:23] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:12:23] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:12:23] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:12:23] [Server thread/INFO]: Preparing level "world"
[02:12:31] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:12:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:12:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:12:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:12:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:12:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:12:35] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[02:12:35] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[02:12:36] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[02:12:36] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[02:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[02:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[02:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[02:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[02:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[02:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[02:12:40] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[02:12:40] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[02:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[02:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[02:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[02:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[02:12:43] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:12:43] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 15%
